Round Number,Date,Team_1,Team_2,Group,Results
1,5-Oct-23,England,New Zealand,Group A,
1,6-Oct-23,Pakistan,Netherlands,Group A,
1,7-Oct-23,Bangladesh,Afghanistan,Group A,
1,7-Oct-23,South Africa,Sri Lanka,Group A,
1,8-Oct-23,India,Australia,Group A,
1,9-Oct-23,New Zealand,Netherlands,Group A,
1,10-Oct-23,England,Bangladesh,Group A,
1,10-Oct-23,Pakistan,Sri Lanka,Group A,
1,11-Oct-23,India,Afghanistan,Group A,
1,12-Oct-23,Australia,South Africa,Group A,
1,13-Oct-23,New Zealand,Bangladesh,Group A,
1,14-Oct-23,India,Pakistan,Group A,
1,15-Oct-23,England,Afghanistan,Group A,
1,16-Oct-23,Australia,Sri Lanka,Group A,
1,17-Oct-23,South Africa,Netherlands,Group A,
1,18-Oct-23,New Zealand,Afghanistan,Group A,
1,19-Oct-23,India,Bangladesh,Group A,
1,20-Oct-23,Australia,Pakistan,Group A,
1,21-Oct-23,Netherlands,Sri Lanka,Group A,
1,21-Oct-23,England,South Africa,Group A,
1,22-Oct-23,India,New Zealand,Group A,
1,23-Oct-23,Pakistan,Afghanistan,Group A,
1,24-Oct-23,South Africa,Bangladesh,Group A,
1,25-Oct-23,Australia,Netherlands,Group A,
1,26-Oct-23,England,Sri Lanka,Group A,
1,27-Oct-23,Pakistan,South Africa,Group A,
1,28-Oct-23,Australia,New Zealand,Group A,
1,28-Oct-23,Netherlands,Bangladesh,Group A,
1,29-Oct-23,India,England,Group A,
1,30-Oct-23,Afghanistan,Sri Lanka,Group A,
1,31-Oct-23,Pakistan,Bangladesh,Group A,
1,1-Nov-23,New Zealand,South Africa,Group A,
1,2-Nov-23,India,Sri Lanka,Group A,
1,3-Nov-23,Netherlands,Afghanistan,Group A,
1,4-Nov-23,New Zealand,Pakistan,Group A,
1,4-Nov-23,England,Australia,Group A,
1,5-Nov-23,India,South Africa,Group A,
1,6-Nov-23,Bangladesh,Sri Lanka,Group A,
1,7-Nov-23,Australia,Afghanistan,Group A,
1,8-Nov-23,England,Netherlands,Group A,
1,9-Nov-23,New Zealand,Sri Lanka,Group A,
1,10-Nov-23,South Africa,Afghanistan,Group A,
1,11-Nov-23,Australia,Bangladesh,Group A,
1,11-Nov-23,England,Pakistan,Group A,
1,12-Nov-23,India,Netherlands,Group A,
1,15-Nov-23,1st Place,4th Place,Group A,
1,16-Nov-23,2nd Place,3rd Place,Group A,
1,19-Nov-23,Winner of Semi- Final 1,Winner of Semi- Final 2,Group A,
